            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
    117.6.84.73|  131.247.67.45|42973|   25|  6|         6|       364|        |2016/04/06T06:49:05.131|    1.472|2016/04/06T06:49:06.603|Health|
 216.12.249.195|   131.247.67.1| 7707|   53| 17|         1|        88|        |2016/04/06T06:49:17.609|    0.000|2016/04/06T06:49:17.609|Health|
 216.12.249.195|   131.247.67.1|23981|   53| 17|         1|        80|        |2016/04/06T06:49:17.610|    0.000|2016/04/06T06:49:17.610|Health|
  113.160.133.8|  131.247.67.45|24871|   25|  6|         6|       370|        |2016/04/06T06:50:00.427|    1.344|2016/04/06T06:50:01.771|Health|
   222.252.3.98|  131.247.67.45|53805|   25|  6|         7|       412|        |2016/04/06T06:50:09.834|    1.344|2016/04/06T06:50:11.178|Health|
   222.252.3.98|  131.247.67.45|53782|   25|  6|         7|       414|        |2016/04/06T06:50:08.424|    1.728|2016/04/06T06:50:10.152|Health|
  113.161.76.44|  131.247.67.45|15010|   25|  6|         6|       360|        |2016/04/06T06:50:35.307|    1.088|2016/04/06T06:50:36.395|Health|
   123.30.8.210|  131.247.67.45|52104|   25|  6|         7|       393|        |2016/04/06T06:53:50.759|    1.536|2016/04/06T06:53:52.295|Health|
 113.190.40.192|  131.247.67.45|15871|   25|  6|         6|       373|        |2016/04/06T06:53:43.080|    1.600|2016/04/06T06:53:44.680|Health|
 216.12.249.195|   131.247.67.1| 8711|   53| 17|         1|        80|        |2016/04/06T06:55:22.339|    0.000|2016/04/06T06:55:22.339|Health|
 216.12.249.195|   131.247.67.1|40470|   53| 17|         1|        88|        |2016/04/06T06:55:22.339|    0.000|2016/04/06T06:55:22.339|Health|
 122.155.38.112|  131.247.67.45|27005|   25|  6|         6|       367|        |2016/04/06T06:55:42.115|    4.864|2016/04/06T06:55:46.979|Health|
 113.162.84.134|  131.247.67.45|12802|   25|  6|         6|       358|        |2016/04/06T06:56:09.380|    1.408|2016/04/06T06:56:10.788|Health|
 118.69.225.187|  131.247.67.45|59967|   25|  6|         9|       468|        |2016/04/06T06:56:59.041|    6.400|2016/04/06T06:57:05.441|Health|
  124.82.221.50|   131.247.67.1|24888|   53| 17|         1|        60|        |2016/04/06T06:58:01.889|    0.000|2016/04/06T06:58:01.889|Health|
  124.82.221.50|  131.247.67.45|31580|   25|  6|         6|       451|        |2016/04/06T06:58:13.154|    3.328|2016/04/06T06:58:16.482|Health|
 213.131.37.210|  131.247.67.45| 3849|   25|  6|         7|       421|        |2016/04/06T06:58:39.200|    1.152|2016/04/06T06:58:40.352|Health|
